"alphat","ccz","nut","V","p_rgh","ccy","p","ccx","T","k","epsilon","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.0018188,1.75,0.0012711,0.001,0.66554,9.3,-17.007,32,290.19,0.0042785,0.0014009,-0.0051306,0.023545,-0.064375,32,9.3,1.7
0.0032807,1.75,0.0022934,0.001,0.66561,9.3,-17.007,32.1,290.19,0.0062293,0.0015324,0.0028014,-0.002562,-0.11908,32.1,9.3,1.7
0.0040373,1.75,0.0028239,0.001,0.66476,9.3,-17.007,32.2,290.2,0.0074271,0.0017723,0.022077,-0.032519,-0.14984,32.2,9.3,1.7
0.0043152,1.75,0.0030188,0.001,0.66266,9.3,-17.008,32.3,290.23,0.0080577,0.0019565,0.046412,-0.05195,-0.15805,32.3,9.3,1.7
0.0041553,1.75,0.0029069,0.001,0.65865,9.3,-17.01,32.4,290.26,0.0083872,0.0022025,0.074193,-0.063594,-0.15048,32.4,9.3,1.7
0.0032385,1.75,0.0022656,0.001,0.65233,9.3,-17.015,32.5,290.29,0.0081989,0.0027898,0.10695,-0.06998,-0.12735,32.5,9.3,1.7
0.0022462,1.75,0.0015714,0.001,0.64169,9.3,-17.025,32.6,290.31,0.0080938,0.0040888,0.13868,-0.048533,-0.095834,32.6,9.3,1.7
0.0018754,1.75,0.0013121,0.001,0.63519,9.3,-17.031,32.7,290.32,0.0079738,0.0047586,0.14678,-0.015878,-0.067198,32.7,9.3,1.7
0.001736,1.75,0.0012145,0.001,0.63479,9.3,-17.031,32.8,290.33,0.0074022,0.0043522,0.14325,-0.0020436,-0.043203,32.8,9.3,1.7
0.0016197,1.75,0.001133,0.001,0.63311,9.3,-17.032,32.9,290.33,0.0069032,0.0039981,0.1466,0.004105,-0.022987,32.9,9.3,1.7
0.0015323,1.75,0.0010718,0.001,0.63157,9.3,-17.034,33,290.33,0.0065313,0.0037566,0.14918,0.0062433,-0.005864,33,9.3,1.7
0.0014692,1.75,0.0010277,0.001,0.63025,9.3,-17.035,33.1,290.33,0.0062521,0.0035889,0.15028,0.0061636,0.0089445,33.1,9.3,1.7
0.0014225,1.75,0.00099503,0.001,0.62908,9.3,-17.037,33.2,290.32,0.0060343,0.0034672,0.15001,0.0051504,0.021994,33.2,9.3,1.7
0.0013856,1.75,0.00096918,0.001,0.62809,9.3,-17.038,33.3,290.32,0.0058507,0.0033689,0.14822,0.0038777,0.033559,33.3,9.3,1.7
0.0013534,1.75,0.00094658,0.001,0.62735,9.3,-17.039,33.4,290.32,0.0056783,0.0032738,0.1449,0.0026538,0.043752,33.4,9.3,1.7
0.0013224,1.75,0.00092483,0.001,0.62688,9.3,-17.04,33.5,290.31,0.0054956,0.0031617,0.14018,0.0016154,0.052618,33.5,9.3,1.7
0.0012903,1.75,0.00090228,0.001,0.62669,9.3,-17.04,33.6,290.3,0.0052849,0.0030156,0.13418,0.00081522,0.060176,33.6,9.3,1.7
0.001255,1.75,0.00087757,0.001,0.62676,9.3,-17.04,33.7,290.3,0.0050348,0.0028267,0.12708,0.00025969,0.066434,33.7,9.3,1.7
0.0012153,1.75,0.00084984,0.001,0.62709,9.3,-17.04,33.8,290.29,0.00474,0.002594,0.11906,-8.939e-05,0.071388,33.8,9.3,1.7
0.0011711,1.75,0.00081892,0.001,0.62764,9.3,-17.04,33.9,290.29,0.0044035,0.0023259,0.11033,-0.00029477,0.075024,33.9,9.3,1.7
0.0011231,1.75,0.00078522,0.001,0.62839,9.3,-17.04,34,290.28,0.0040321,0.0020343,0.10108,-0.0004061,0.077314,34,9.3,1.7
0.0010718,1.75,0.00074922,0.001,0.6293,9.3,-17.039,34.1,290.27,0.0036358,0.0017328,0.091535,-0.000456,0.078222,34.1,9.3,1.7
0.0010173,1.75,0.00071114,0.001,0.63033,9.3,-17.039,34.2,290.27,0.0032266,0.0014367,0.081933,-0.00047113,0.077688,34.2,9.3,1.7
0.0009602,1.75,0.00067115,0.001,0.63143,9.3,-17.038,34.3,290.26,0.0028166,0.0011585,0.072466,-0.00046105,0.075638,34.3,9.3,1.7
0.00090064,1.75,0.00062947,0.001,0.63258,9.3,-17.037,34.4,290.25,0.002418,0.00090817,0.063431,-0.00044082,0.071905,34.4,9.3,1.7
0.00083914,1.75,0.00058636,0.001,0.63378,9.3,-17.036,34.5,290.25,0.0020353,0.00068826,0.054865,-0.00030683,0.066314,34.5,9.3,1.7
0.00082674,1.75,0.00057697,0.001,0.63537,9.3,-17.035,34.6,290.24,0.001663,0.00046226,0.0483,-0.00074002,0.057435,34.6,9.3,1.7
0.0010391,1.75,0.00072476,0.001,0.63715,9.3,-17.034,34.7,290.22,0.0015757,0.00031593,0.046443,-0.0019996,0.044564,34.7,9.3,1.7
0.0014091,1.75,0.0009839,0.001,0.63823,9.3,-17.034,34.8,290.2,0.001745,0.00028064,0.049291,-0.0019166,0.033253,34.8,9.3,1.7
