"cellID","alphat","ccz","nut","V","p_rgh","ccy","p","ccx","T","k","epsilon","U:0","U:1","U:2","Cell Type"
20109,0.00098538,1.75,0.00068757,0.001,0.63719,9.25,-17.034,34.85,290.22,0.0011684,0.0001787,0.067471,-0.0028471,0.049967,12
20110,0.0010654,1.75,0.00074454,0.001,0.63738,9.25,-17.034,34.95,290.21,0.0011328,0.00015512,0.067045,0.00054959,0.045863,12
20111,0.0010776,1.75,0.00075321,0.001,0.63748,9.25,-17.034,35.05,290.21,0.0010616,0.00013465,0.063397,0.0051936,0.045193,12
20112,0.0010145,1.75,0.00070899,0.001,0.63773,9.25,-17.034,35.15,290.2,0.00095937,0.00011683,0.054106,0.0095671,0.046398,12
20113,0.00091395,1.75,0.00063821,0.001,0.63823,9.25,-17.034,35.25,290.2,0.0008509,0.0001021,0.037617,0.01087,0.047295,12
20114,0.00045532,1.75,0.00031822,0.001,0.63918,9.25,-17.033,35.35,290.2,0.00080765,0.00018449,0.016336,0.0045963,0.040803,12
20115,0.00093226,1.75,0.00065203,0.001,0.66511,9.35,-17.008,31.95,290.19,0.0033856,0.0015821,-0.003862,0.038529,-0.035445,12
20116,0.0031997,1.75,0.0022364,0.001,0.66584,9.35,-17.007,32.05,290.18,0.0059812,0.0014397,-0.0019143,0.014155,-0.10574,12
20117,0.0042994,1.75,0.0030075,0.001,0.66539,9.35,-17.008,32.15,290.18,0.0073916,0.001635,0.014642,-0.025637,-0.14835,12
20118,0.0047835,1.75,0.0033467,0.001,0.66374,9.35,-17.008,32.25,290.21,0.0080059,0.0017236,0.033394,-0.053956,-0.1646,12
20119,0.0048794,1.75,0.0034139,0.001,0.66034,9.35,-17.01,32.35,290.24,0.0084018,0.001861,0.055773,-0.071038,-0.16221,12
20120,0.004191,1.75,0.0029321,0.001,0.65452,9.35,-17.014,32.45,290.28,0.008475,0.0022046,0.079141,-0.084485,-0.14456,12
20121,0.0022011,1.75,0.0015401,0.001,0.64566,9.35,-17.021,32.55,290.3,0.0077883,0.0035448,0.11022,-0.095682,-0.10422,12
20122,0.0015217,1.75,0.001065,0.001,0.62876,9.35,-17.037,32.65,290.32,0.009003,0.0068497,0.13179,-0.04163,-0.065439,12
20123,0.0014737,1.75,0.0010314,0.001,0.63361,9.35,-17.032,32.75,290.32,0.0084451,0.0062236,0.10295,-0.016529,-0.034612,12
20124,0.0014135,1.75,0.0009893,0.001,0.63314,9.35,-17.032,32.85,290.33,0.007772,0.0054952,0.10363,-0.005055,-0.010715,12
20125,0.0013752,1.75,0.00096233,0.001,0.63196,9.35,-17.034,32.95,290.33,0.0073553,0.0050596,0.10811,0.00015042,0.0071433,12
20126,0.001357,1.75,0.0009496,0.001,0.63096,9.35,-17.035,33.05,290.33,0.0071618,0.0048612,0.1115,0.0016285,0.020914,12
20127,0.0013526,1.75,0.0009466,0.001,0.62991,9.35,-17.036,33.15,290.32,0.007116,0.0048145,0.11362,0.0014086,0.032066,12
20128,0.0013551,1.75,0.00094841,0.001,0.62893,9.35,-17.037,33.25,290.32,0.0071433,0.0048422,0.11377,0.0006039,0.041351,12
20129,0.0013586,1.75,0.00095091,0.001,0.62811,9.35,-17.038,33.35,290.31,0.0071818,0.0048817,0.11179,-0.00028036,0.049123,12
20130,0.0013586,1.75,0.00095079,0.001,0.62751,9.35,-17.039,33.45,290.31,0.0071834,0.0048845,0.10783,-0.0010255,0.055562,12
20131,0.0013516,1.75,0.0009457,0.001,0.62718,9.35,-17.04,33.55,290.3,0.0071079,0.0048081,0.10218,-0.0015482,0.060766,12
20132,0.0013348,1.75,0.00093395,0.001,0.62711,9.35,-17.04,33.65,290.3,0.0069312,0.0046296,0.095132,-0.0018241,0.064809,12
20133,0.0013063,1.75,0.00091419,0.001,0.62729,9.35,-17.04,33.75,290.29,0.0066401,0.0043407,0.087074,-0.0018723,0.067756,12
20134,0.0012662,1.75,0.00088616,0.001,0.62771,9.35,-17.04,33.85,290.28,0.0062395,0.003954,0.078334,-0.0017729,0.069662,12
20135,0.0012153,1.75,0.00085048,0.001,0.62833,9.35,-17.04,33.95,290.28,0.0057508,0.0034997,0.069143,-0.0016031,0.07052,12
20136,0.0011553,1.75,0.00080831,0.001,0.62915,9.35,-17.039,34.05,290.27,0.0051958,0.0030058,0.05976,-0.0013955,0.070292,12
20137,0.0010873,1.75,0.00076073,0.001,0.6301,9.35,-17.039,34.15,290.26,0.0046011,0.0025046,0.050406,-0.0011647,0.068914,12
20138,0.0010125,1.75,0.00070854,0.001,0.63116,9.35,-17.038,34.25,290.26,0.0039906,0.0020228,0.041361,-0.00089562,0.066248,12
20139,0.00093265,1.75,0.0006527,0.001,0.63226,9.35,-17.037,34.35,290.25,0.0033862,0.0015811,0.032776,-0.00053131,0.062204,12
20140,0.00084896,1.75,0.00059403,0.001,0.63342,9.35,-17.036,34.45,290.25,0.0028067,0.0011935,0.025361,-3.7961e-05,0.056415,12
20141,0.00076001,1.75,0.00053162,0.001,0.63467,9.35,-17.035,34.55,290.24,0.0022478,0.00085541,0.018404,0.0010102,0.048885,12
20142,0.00085661,1.75,0.00059692,0.001,0.63719,9.35,-17.034,34.65,290.21,0.0016826,0.00042685,0.018113,0.0004051,0.035382,12
20143,0.0015802,1.75,0.0011028,0.001,0.63925,9.35,-17.034,34.75,290.18,0.0021516,0.0003778,0.025494,-0.0012717,0.016667,12
20144,0.0021856,1.75,0.0015279,0.001,0.63981,9.35,-17.034,34.85,290.17,0.0024655,0.00035806,0.035821,0.00058102,0.0084407,12
20145,0.0023898,1.75,0.0016733,0.001,0.63962,9.35,-17.035,34.95,290.16,0.002392,0.00030775,0.044413,0.0054791,0.010138,12
20146,0.0022587,1.75,0.0015825,0.001,0.6391,9.35,-17.035,35.05,290.17,0.0020435,0.0002375,0.048744,0.012812,0.018641,12
20147,0.0019344,1.75,0.0013554,0.001,0.63871,9.35,-17.035,35.15,290.17,0.0016118,0.0001725,0.045881,0.020656,0.02991,12
20148,0.0014791,1.75,0.0010357,0.001,0.63873,9.35,-17.035,35.25,290.18,0.0012391,0.00013342,0.034134,0.026004,0.039297,12
20149,0.00051688,1.75,0.00036153,0.001,0.63927,9.35,-17.034,35.35,290.19,0.0010395,0.00026899,0.015246,0.025556,0.038883,12
20150,0.0010075,1.75,0.00070477,0.001,0.66456,9.45,-17.009,31.95,290.17,0.0039528,0.0019953,-0.0034527,0.048398,-0.039188,12
20151,0.0035422,1.75,0.0024767,0.001,0.66579,9.45,-17.009,32.05,290.15,0.0069228,0.0017415,-0.00071419,0.014616,-0.11755,12
20152,0.004529,1.75,0.0031687,0.001,0.66558,9.45,-17.009,32.15,290.16,0.0079458,0.0017932,0.011654,-0.031027,-0.16013,12
20153,0.0049906,1.75,0.0034919,0.001,0.664,9.45,-17.009,32.25,290.19,0.0083111,0.0017803,0.023722,-0.061558,-0.17477,12
20154,0.0050079,1.75,0.0035038,0.001,0.6612,9.45,-17.009,32.35,290.23,0.0085341,0.0018707,0.033376,-0.078525,-0.16886,12
20155,0.0039288,1.75,0.0027487,0.001,0.65827,9.45,-17.01,32.45,290.28,0.0084234,0.0023232,0.036813,-0.088787,-0.14541,12
20156,0.0014909,1.75,0.0010435,0.001,0.65637,9.45,-17.01,32.55,290.31,0.0086403,0.0064385,0.026592,-0.089768,-0.084289,12
20157,0.0006443,1.75,0.00045077,0.001,0.64182,9.45,-17.035,34.65,290.12,0.001617,0.00052207,0.0018949,-0.0040328,-0.024268,12
20158,0.0024993,1.75,0.0017484,0.001,0.64226,9.45,-17.035,34.75,290.11,0.0029775,0.00045636,0.0074604,-0.0059886,-0.034852,12
20159,0.003367,1.75,0.0023572,0.001,0.64221,9.45,-17.035,34.85,290.11,0.0034812,0.00046272,0.015794,-0.0035734,-0.035264,12
20160,0.0035661,1.75,0.0024981,0.001,0.64167,9.45,-17.035,34.95,290.11,0.0034647,0.00043248,0.025277,0.0029335,-0.026756,12
20161,0.0033364,1.75,0.0023385,0.001,0.64071,9.45,-17.035,35.05,290.12,0.0030269,0.00035262,0.033232,0.01369,-0.010486,12
20162,0.0028082,1.75,0.0019689,0.001,0.63973,9.45,-17.035,35.15,290.14,0.0023455,0.00025146,0.034905,0.026385,0.009864,12
20163,0.0019943,1.75,0.0013981,0.001,0.63919,9.45,-17.035,35.25,290.16,0.0016806,0.00018181,0.027439,0.036629,0.027936,12
20164,0.00057918,1.75,0.00040532,0.001,0.63919,9.45,-17.034,35.35,290.17,0.0013045,0.00037786,0.012027,0.03915,0.034835,12
20165,0.0010779,1.75,0.00075411,0.001,0.66372,9.55,-17.011,31.95,290.15,0.0045231,0.0024416,-0.0036143,0.057808,-0.041368,12
20166,0.0036454,1.75,0.0025494,0.001,0.66543,9.55,-17.011,32.05,290.12,0.0076211,0.0020504,-0.0013338,0.01752,-0.12679,12
20167,0.0045661,1.75,0.0031948,0.001,0.66527,9.55,-17.01,32.15,290.13,0.0083642,0.0019708,0.0085337,-0.03127,-0.17094,12
20168,0.0050425,1.75,0.0035282,0.001,0.66343,9.55,-17.01,32.25,290.17,0.00865,0.0019087,0.017188,-0.061265,-0.18391,12
20169,0.0050775,1.75,0.0035525,0.001,0.66036,9.55,-17.011,32.35,290.22,0.0088676,0.0019921,0.02199,-0.074061,-0.1748,12
20170,0.0039861,1.75,0.0027889,0.001,0.65737,9.55,-17.011,32.45,290.27,0.0086358,0.0024067,0.021675,-0.072944,-0.14696,12
20171,0.0013982,1.75,0.00097873,0.001,0.65486,9.55,-17.012,32.55,290.31,0.007598,0.0053086,0.011149,-0.045424,-0.077081,12
20172,0.00076339,1.75,0.0005343,0.001,0.64341,9.55,-17.035,34.65,290.08,0.0022688,0.00086706,-0.00097196,-0.0061014,-0.043741,12
20173,0.0027895,1.75,0.001952,0.001,0.6435,9.55,-17.035,34.75,290.08,0.003332,0.00051188,-0.0010134,-0.010161,-0.061443,12
20174,0.0037994,1.75,0.0026607,0.001,0.64342,9.55,-17.035,34.85,290.08,0.0038871,0.0005111,0.0028231,-0.0081308,-0.06352,12
20175,0.0040525,1.75,0.0028392,0.001,0.64299,9.55,-17.036,34.95,290.08,0.0040183,0.00051183,0.0098937,-0.0010705,-0.055472,12
20176,0.0038761,1.75,0.002717,0.001,0.6419,9.55,-17.036,35.05,290.09,0.0037203,0.00045848,0.019302,0.012141,-0.03588,12
20177,0.0033607,1.75,0.0023571,0.001,0.6405,9.55,-17.036,35.15,290.11,0.0029969,0.00034295,0.024669,0.029475,-0.0090004,12
20178,0.0023513,1.75,0.0016496,0.001,0.63941,9.55,-17.036,35.25,290.14,0.0021053,0.00024183,0.021197,0.044758,0.016622,12
20179,0.00063954,1.75,0.00044772,0.001,0.63881,9.55,-17.035,35.35,290.16,0.0015902,0.00050833,0.0090867,0.049803,0.030719,12
